,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,-42.0,26.0,0.0,18.839645,14984
1,1a,-46.0,24.0,-8.0,18.829641,
2,1b,-40.0,30.0,-4.0,18.68441,
3,1c,-42.0,20.0,-8.0,18.536568,
4,2,-4.0,52.0,16.0,15.756771,58464
5,2a,0.0,52.0,8.0,15.625048,
6,2b,6.0,54.0,14.0,15.612385,
7,2c,-4.0,48.0,22.0,15.51527,
8,3,-2.0,32.0,18.0,14.749949,8
9,4,32.0,20.0,-14.0,14.240141,12960
10,4a,50.0,26.0,-8.0,13.851645,
11,4b,48.0,26.0,0.0,13.21024,
12,4c,54.0,24.0,8.0,12.834642,
13,5,-48.0,2.0,-36.0,13.891701,13808
14,5a,-52.0,-4.0,-30.0,13.80759,
15,5b,-44.0,0.0,-34.0,13.733377,
16,5c,-50.0,8.0,-32.0,13.720697,
17,6,-58.0,-18.0,-10.0,12.80803,10728
18,6a,-58.0,-26.0,-8.0,12.748761,
19,6b,-50.0,-30.0,-6.0,12.726745,
20,6c,-58.0,-22.0,-10.0,12.721917,
21,7,48.0,2.0,-32.0,12.757718,9960
22,7a,50.0,12.0,-32.0,12.184573,
23,7b,44.0,2.0,-40.0,12.128236,
24,7c,50.0,-6.0,-30.0,12.07087,
25,8,28.0,-78.0,-32.0,12.100546,2232
26,9,54.0,-28.0,-8.0,12.03433,4344
27,9a,62.0,-14.0,-10.0,10.794781,
28,9b,50.0,-20.0,-10.0,10.793868,
29,9c,66.0,-14.0,-8.0,10.170256,
30,10,-54.0,-60.0,30.0,11.376771,12208
31,10a,-52.0,-52.0,26.0,11.310731,
32,10b,-60.0,-62.0,32.0,11.189049,
33,10c,-66.0,-52.0,28.0,10.913211,
34,11,-12.0,-52.0,32.0,11.202908,1576
35,11a,-6.0,-46.0,30.0,10.106543,
36,12,-38.0,8.0,4.0,11.183134,104
37,13,32.0,14.0,-10.0,11.013447,8
38,14,50.0,-40.0,0.0,10.693869,432
39,14a,58.0,-38.0,-2.0,10.2667885,
40,15,50.0,-36.0,-6.0,10.08306,16
41,16,-8.0,-58.0,38.0,9.650943,48
42,17,58.0,-44.0,24.0,9.546171,712
43,17a,68.0,-48.0,22.0,8.904359,
44,18,24.0,-88.0,-38.0,8.687964,648
45,18a,30.0,-86.0,-46.0,6.443506,
46,18b,18.0,-86.0,-44.0,6.181202,
47,19,-66.0,-16.0,-26.0,8.571949,112
48,19a,-56.0,-16.0,-26.0,7.7651377,
49,20,-44.0,-8.0,-50.0,7.8239064,16
50,21,-48.0,-52.0,4.0,7.7651377,8
51,22,-54.0,-42.0,16.0,7.7651377,24
52,23,-22.0,-76.0,-42.0,7.70339,136
53,23a,-30.0,-74.0,-40.0,6.757661,
54,24,-48.0,-10.0,-48.0,6.8744984,24
55,25,-46.0,-42.0,10.0,6.857536,8
56,26,56.0,-36.0,-6.0,6.857536,8
57,27,0.0,32.0,-26.0,6.857536,8
58,28,-2.0,70.0,2.0,6.857536,8
59,29,-54.0,-6.0,-4.0,5.786149,8
60,30,-6.0,56.0,-24.0,5.759013,8
61,31,62.0,-16.0,-26.0,5.739882,8
62,32,-48.0,-14.0,-36.0,5.739882,8
63,33,-42.0,-14.0,-44.0,5.739882,8
64,34,-64.0,-14.0,-2.0,5.739882,8
65,35,66.0,-32.0,2.0,5.739882,16
