,Subject,Algebraic Connectivity
0,103414,0.8818845769967572
1,173132,0.8660242383341634
2,212318,0.8885016134952226
3,206727,0.910381857146831
4,351938,0.877710081367433
5,567961,0.8906390579855425
6,180533,0.8935846147874618
7,157336,0.8857231086002606
8,192237,0.8967280929163517
9,955465,0.8953378196690771
10,214221,0.8634555710285761
11,128632,0.8627553292684131
12,176441,0.8819161121423806
13,660951,0.8842640223160347
14,135124,0.8712959076841942
15,214423,0.845352900674841
16,155231,0.8756940823692498
17,978578,0.8956687133936889
18,130720,0.8748843049823201
19,371843,0.893362106259002
20,432332,0.8760610431145777
21,223929,0.8727377288534028
22,146937,0.8906841805896295
23,117930,0.8911777583526967
24,580044,0.8739617470003134
25,803240,0.8703217297293833
26,604537,0.8561864082557473
27,137532,0.8838005900194676
28,169545,0.8674363849388622
29,715950,0.9106246662828872
30,378756,0.8869055405641053
31,175742,0.8997904554776357
32,901038,0.8888441225969004
33,285345,0.9014360473308485
34,127731,0.8814380021376746
35,172534,0.8618962371470749
36,385450,0.8486884089795441
37,167440,0.8557869264351667
38,922854,0.8881711366414764
39,731140,0.9201834722099023
40,753150,0.8799366187170563
41,971160,0.9024837983427885
42,149337,0.8898844213405832
43,555954,0.8915257369379483
44,480141,0.8849035129647946
45,198653,0.8529337093752984
46,121416,0.8786463067896317
47,174841,0.8977140769658059
48,119025,0.8986038576864788
49,158843,0.9027393824281933
50,519647,0.8770132140004832
51,198451,0.8737294733001966
52,966975,0.8546787879702107
53,757764,0.908492358905024
54,322224,0.8792466649772217
55,182840,0.8848807175825062
56,213017,0.9090998962307548
57,203418,0.8722274463010062
58,436239,0.9076737090060434
59,970764,0.868650608163867
60,919966,0.9091172890993053
61,126325,0.8669073729229158
62,894067,0.8915066800270146
63,336841,0.8884780311986487
64,441939,0.869594508151075
65,188549,0.8900170730884935
66,169040,0.872200562298838
67,120212,0.9015567691839597
68,181232,0.912048576681521
69,871964,0.9098250268218115
70,517239,0.8549709319367276
71,105923,0.8724907544867202
72,131924,0.878364462746533
73,380036,0.8822609698198689
74,113417,0.8615547555892444
75,391748,0.9018971730692764
76,204622,0.8721654807686459
77,393247,0.8831777460643042
78,951457,0.8975424586767542
79,958976,0.8910608724059321
80,149236,0.8920798231833191
81,206323,0.907565393740233
82,173536,0.886985035225621
83,138837,0.8722961316795537
84,303119,0.8796555214743191
85,133625,0.8783463265654727
86,196851,0.8730655740897959
87,461743,0.9012494119871035
88,586460,0.9175508570357127
89,185442,0.8982772499617571
90,307127,0.8834856967637494
91,992774,0.8783229014726728
92,128329,0.8869258641098925
93,156334,0.872929016194687
94,151324,0.8823572534647686
95,368753,0.8958245924652624
96,818455,0.8998664454131204
97,590047,0.8786824629141303
98,171128,0.8598468886897306
99,263436,0.8820752105952174
100,395251,0.8923426361985036
101,397760,0.877343519005336
102,548250,0.8744171205739291
103,571548,0.88870786714625
104,645551,0.8846193952744486
105,111009,0.8968172989232734
106,154431,0.86684852445047
107,136631,0.8848160758951225
108,171330,0.8864113945487244
109,626648,0.9005515936575073
110,176744,0.8838776404308126
111,623137,0.8867967445521698
112,901442,0.8809803611294345
113,947668,0.8668745731046141
114,144226,0.891920311912084
115,567052,0.9041191914912121
116,111211,0.8926682634715042
117,257845,0.9101871801227135
118,844961,0.9060875051781803
119,366446,0.8661141466210522
120,965367,0.8847230583766361
121,131217,0.8957045042351581
122,569965,0.8619126317506149
123,299154,0.8934141742998858
124,214524,0.8972058564108094
125,182739,0.873128954482532
126,552544,0.9040633051529918
127,311320,0.8570385353466463
128,529953,0.8807254994368865
129,268749,0.8824977365521138
130,141422,0.9146203341225334
131,561444,0.8761111723472572
132,124422,0.8782120249191601
133,154936,0.9114320271554166
134,727553,0.8948044125705517
135,783462,0.8859506832620454
136,729254,0.8931976373695865
137,108020,0.8931415475806741
138,154532,0.9057860443635495
139,124826,0.9072618901191307
140,151627,0.885413933929265
141,209127,0.8896806066092373
142,689470,0.8969286769767444
143,104012,0.9106409633765407
144,352738,0.9082881626807084
145,568963,0.8757961920193533
146,172433,0.8741384931836875
147,614439,0.8636234054690997
148,378857,0.8726462631789367
149,186040,0.874434358864024
